Laura,George,lgeorge0@delicious.com,Indonesia,Female,Ketapang,Topiclounge,50879.96,IDR
Lawrence,Wells,lwells1@is.gd,Portugal,Male,Cabeçudos,Edgeclub,96097.80,EUR
Amy,Flores,aflores2@printfriendly.com,Nigeria,Female,Katsina-Ala,Thoughtsphere,23182.28,NGN
Jesse,Rogers,jrogers3@google.com.au,Poland,Male,Przewóz,Avamba,88434.63,PLN
Bruce,Lynch,blynch4@time.com,Argentina,Male,Alderetes,Zoombox,24529.02,ARS
Laura,Miller,lmiller5@independent.co.uk,Philippines,Female,Pasacao,Gigabox,,PHP
Ronald,Fernandez,rfernandez6@freewebs.com,Japan,Male,Gojō,Roodel,69743.30,JPY
Juan,Meyer,jmeyer7@noaa.gov,Ireland,Male,Bagenalstown,Bluejam,12325.92,EUR
Scott,Hill,shill8@sakura.ne.jp,Ukraine,Male,Vovchans’k,Twimm,26695.25,UAH
Catherine,Carter,ccarter9@tripadvisor.com,Poland,Female,Kolbudy,Quaxo,81672.69,PLN
Alan,Matthews,amatthewsa@adobe.com,Poland,Male,Wiśniewo,Meetz,53469.01,PLN
Beverly,Mccoy,bmccoyb@who.int,China,Female,Huyu,Tazz,85340.25,CNY
Harry,Palmer,hpalmerc@desdev.cn,China,Male,Shuidong,Ozu,83044.73,CNY
Deborah,Walker,dwalkerd@alibaba.com,Indonesia,Female,Cibenda,Vidoo,82711.26,IDR
Clarence,Howard,chowarde@narod.ru,Philippines,Male,Peña,Gabtype,44836.85,PHP
Michael,Snyder,msnyderf@oakley.com,Indonesia,Male,Lebak,Fliptune,18422.10,IDR
Stephanie,Mcdonald,smcdonaldg@cornell.edu,United States,Female,Minneapolis,Yoveo,32044.95,USD
Jacqueline,Hawkins,jhawkinsh@vinaora.com,Colombia,Female,Ciénaga,Gabtune,64882.94,COP
Mildred,Duncan,mduncani@tinyurl.com,China,Female,Xumu,Dynava,49697.83,CNY
Louise,Davis,ldavisj@deviantart.com,Philippines,Female,Bagacay,Jaxbean,,PHP
Benjamin,Richards,brichardsk@answers.com,Indonesia,Male,Kampungruweh,Dabshots,87535.06,IDR
