Shirley,Sullivan,ssullivan0@cocolog-nifty.com,China,Female,Hengli,Jaxworks,37385.50,CNY
Linda,Kelley,lkelley1@seattletimes.com,Mexico,Female,Miguel Aleman,Twitterworks,58857.05,MXN
Ruth,Lewis,rlewis2@businessinsider.com,Ukraine,Female,Shostka,Dabshots,62174.31,UAH
Nicholas,Hayes,nhayes3@google.nl,Russia,Male,Novyy Uoyan,Digitube,4596.95,RUB
Julia,Fox,jfox4@cnet.com,Indonesia,Female,Kembangan,Leenti,,IDR
Carl,Bailey,cbailey5@163.com,China,Male,Guiping,Thoughtbridge,38854.74,CNY
Dennis,Powell,dpowell6@simplemachines.org,France,Male,Cestas,Buzzdog,55067.40,EUR
Marilyn,Vasquez,mvasquez7@tinyurl.com,Mali,Female,Tessalit,Buzzster,19693.04,XOF
Dorothy,Alexander,dalexander8@zdnet.com,Gabon,Female,Port-Gentil,Skyble,,XAF
Irene,Sanders,isanders9@ibm.com,Japan,Female,Miyoshi,Topicstorm,15656.17,JPY
Mildred,Ferguson,mfergusona@usa.gov,Azerbaijan,Female,Digah,Ailane,77380.62,AZN
Tina,Boyd,tboydb@sogou.com,Indonesia,Female,Semiring,Brainbox,14129.55,IDR
Timothy,Miller,tmillerc@tmall.com,Thailand,Male,Bang Rakam,Nlounge,20061.62,THB
Julia,Garcia,jgarciad@bloglines.com,Botswana,Female,Thamaga,Demizz,93173.43,BWP
Fred,Bryant,fbryante@github.io,Portugal,Male,Várzea,Voonder,43917.17,EUR
Tina,Hanson,thansonf@woothemes.com,China,Female,Hengtanggang,Oodoo,55572.41,CNY
Louis,Willis,lwillisg@mediafire.com,China,Male,Xiage,Mydeo,16555.92,CNY
Terry,Hill,thillh@ifeng.com,Russia,Male,Uchaly,Skaboo,67370.41,RUB
Samuel,Hamilton,shamiltoni@ocn.ne.jp,Indonesia,Male,Cibolek Kidul,Eare,,IDR
Jennifer,Burns,jburnsj@cyberchimps.com,Peru,Female,Uchiza,Aimbu,85454.16,PEN
