Albert,Reid,areid0@bbc.co.uk,Haiti,Male,Saint-Louis du Sud,Dynava,23689.55,HTG
Christina,Cox,ccox1@netscape.com,South Korea,Female,Ganghwa-gun,Centimia,94135.92,KRW
Evelyn,Martinez,emartinez2@latimes.com,Indonesia,Female,Bagiktinggang,Demizz,59393.57,IDR
Lori,Foster,lfoster3@nature.com,Uruguay,Female,Nuevo Berlín,Yozio,94525.41,UYU
Judy,Knight,jknight4@chicagotribune.com,Indonesia,Female,Dukuhsawah,Tagchat,46261.56,IDR
Tina,Rose,trose5@reuters.com,China,Female,Jinjia,Livepath,96837.21,CNY
Gerald,Ray,gray6@rediff.com,Barbados,Male,Bridgetown,Edgewire,19333.81,BBD
Michael,Mitchell,mmitchell7@go.com,China,Male,Shiren,Yakitri,46348.02,CNY
Nicole,Harvey,nharvey8@blogtalkradio.com,Israel,Female,Maghār,Geba,65131.76,ILS
Larry,Williams,lwilliams9@xing.com,Myanmar,Male,Pyay,Katz,,MMK
Sarah,Smith,ssmitha@usgs.gov,Indonesia,Female,Glugur Krajan,Skyble,,IDR
Evelyn,Sanchez,esanchezb@mapquest.com,Tanzania,Female,Mhango,Dabjam,65293.92,TZS
Kenneth,Henry,khenryc@theguardian.com,Kazakhstan,Male,Kīevka,Camimbo,93971.58,KZT
Russell,Franklin,rfranklind@nationalgeographic.com,Indonesia,Male,Tunjuk Selatan,Jabberbean,92893.99,IDR
Margaret,Stevens,mstevense@princeton.edu,Indonesia,Female,Purwokerto,Mydeo,73840.66,IDR
Adam,West,awestf@domainmarket.com,China,Male,Chishui,Meetz,38156.97,CNY
Lois,Morrison,lmorrisong@illinois.edu,Sweden,Female,Bjästa,Babbleset,80375.70,SEK
Phillip,Patterson,ppattersonh@themeforest.net,Iran,Male,Ḩājjīābād,Photolist,,IRR
Theresa,Gonzalez,tgonzalezi@answers.com,China,Female,Maji,Browseblab,96855.03,CNY
Victor,Little,vlittlej@vimeo.com,Syria,Male,Muḩradah,Izio,94982.62,SYP
Joshua,Cook,jcookk@sogou.com,Argentina,Male,General Alvear,Flashset,5750.94,ARS
Robert,Foster,rfosterl@state.gov,Indonesia,Male,Kolomanu,Mudo,20583.74,IDR
Sara,Butler,sbutlerm@sun.com,China,Female,Xingfeng,Edgeclub,93342.93,CNY
Mark,Butler,mbutlern@msn.com,China,Male,Wufeng,Twitternation,56367.67,CNY
Jane,Warren,jwarreno@digg.com,China,Female,Cennan,Wordify,73487.88,CNY
Thomas,Kennedy,tkennedyp@tmall.com,Indonesia,Male,Riangbao,Rhybox,38128.64,IDR
Julia,Hernandez,jhernandezq@statcounter.com,France,Female,Mulhouse,Rhycero,53368.17,EUR
Betty,Freeman,bfreemanr@cnet.com,Ukraine,Female,Zboriv,Jabberstorm,45992.69,UAH
Jean,Montgomery,jmontgomerys@webeden.co.uk,Portugal,Female,Pisões,Skyble,,EUR
Lisa,Morrison,lmorrisont@nhs.uk,Indonesia,Female,Wakduwa’ Barat,Dynazzy,11697.77,IDR
