Lois,Clark,lclark0@virginia.edu,Swaziland,Female,Bhunya,Katz,,SZL
Alan,Murphy,amurphy1@posterous.com,Czech Republic,Male,Vrdy,Dynabox,,CZK
Jason,Gibson,jgibson2@forbes.com,New Zealand,Male,Takaka,Gigabox,96621.34,NZD
John,Perry,jperry3@webs.com,France,Male,Strasbourg,Blogspan,9295.59,EUR
Marilyn,Wood,mwood4@webmd.com,Bahamas,Female,George Town,Tagchat,87757.77,BSD
Ruth,Murphy,rmurphy5@newsvine.com,Cyprus,Female,Mammari,Quimba,96727.05,EUR
George,Castillo,gcastillo6@joomla.org,United States,Male,Fort Worth,Photospace,22252.17,USD
Pamela,Andrews,pandrews7@canalblog.com,Nicaragua,Female,Ciudad Darío,Devpulse,95769.11,NIO
Christine,Fields,cfields8@elegantthemes.com,Democratic Republic of the Congo,Female,Luebo,Browsebug,82712.90,CDF
Judith,Robinson,jrobinson9@diigo.com,Indonesia,Female,Paritjunus,Blogpad,85494.15,IDR
Frances,Hayes,fhayesa@goo.gl,Argentina,Female,Marull,Myworks,61363.34,ARS
Shawn,Ross,srossb@tmall.com,China,Male,Yangyuan,Oyoyo,52484.32,CNY
Ashley,Perez,aperezc@jalbum.net,Philippines,Female,Matinao,Browsedrive,,PHP
Walter,Burke,wburked@discuz.net,France,Male,Paris 08,Divanoodle,,EUR
Gregory,Roberts,grobertse@discovery.com,China,Male,Yangtan,Mynte,3425.97,CNY
Brenda,Carter,bcarterf@usda.gov,Costa Rica,Female,Chacarita,Blogpad,,CRC
Diana,Armstrong,darmstrongg@vistaprint.com,Canada,Female,Lethbridge,InnoZ,88150.92,CAD
Ryan,Martinez,rmartinezh@cisco.com,Philippines,Male,Bodega,Jaxworks,93346.41,PHP
Julia,Larson,jlarsoni@discovery.com,Brazil,Female,Itumbiara,Gigaclub,33195.87,BRL
Janet,Powell,jpowellj@acquirethisname.com,China,Female,Huanggang,Twitterbridge,17749.90,CNY
Matthew,Stephens,mstephensk@deviantart.com,Cuba,Male,Holguín,Realcube,96262.73,CUP
Denise,Griffin,dgriffinl@netlog.com,China,Female,Shijiazhuang,Quimm,15033.75,CNY
Donna,Sims,dsimsm@dmoz.org,Dominican Republic,Female,El Peñón,Innojam,81361.52,DOP
Cynthia,Cox,ccoxn@phpbb.com,Ireland,Female,Castlemartyr,Wordware,31085.00,EUR
Janice,Henderson,jhendersono@mac.com,Brazil,Female,Irará,Mybuzz,36604.38,BRL
Emily,Chapman,echapmanp@nsw.gov.au,Pakistan,Female,Islāmkot,Devbug,81965.06,PKR
Sean,Myers,smyersq@ox.ac.uk,China,Male,Qiaodong,Feedfish,87199.78,CNY
Diane,Wright,dwrightr@ibm.com,Ukraine,Female,Uhryniv,Gabspot,28236.88,UAH
Roy,Owens,rowenss@mysql.com,Portugal,Male,Vermil,Tagchat,15592.32,EUR
Jeffrey,Wilson,jwilsont@smugmug.com,Poland,Male,Ochojno,Dynabox,8972.46,PLN
Albert,Harris,aharrisu@feedburner.com,Libya,Male,Brak,Brightbean,24466.57,LYD
Donna,Morgan,dmorganv@nature.com,Ghana,Female,Wassa-Akropong,Mybuzz,,GHS
Angela,Hamilton,ahamiltonw@newyorker.com,Indonesia,Female,Tetaf,Vidoo,11994.62,IDR
Maria,Peterson,mpetersonx@utexas.edu,Mexico,Female,San Lorenzo,Skimia,7297.71,MXN
Lisa,Chapman,lchapmany@cornell.edu,Kazakhstan,Female,Ashchysay,Twinte,87124.40,KZT
Melissa,Hunt,mhuntz@fastcompany.com,Russia,Female,Staraya Kupavna,Wordtune,19312.52,RUB
Roger,Kelley,rkelley10@unicef.org,China,Male,Hankazi,Skajo,39365.13,CNY
Andrew,Morrison,amorrison11@themeforest.net,Indonesia,Male,Oematnunu,Flipstorm,25724.98,IDR
Lisa,Thomas,lthomas12@theguardian.com,Brazil,Female,Pontal,Gabcube,74393.51,BRL
Jeremy,Ward,jward13@nationalgeographic.com,Finland,Male,Tammela,Zoomcast,11029.07,EUR
Aaron,Ortiz,aortiz14@webmd.com,Peru,Male,Estique,Jabberstorm,,PEN
Antonio,Carr,acarr15@ning.com,China,Male,Baishi,Quatz,12304.58,CNY
Jesse,Garrett,jgarrett16@com.com,Indonesia,Male,Kadengan,Oyoloo,10131.70,IDR
Beverly,Boyd,bboyd17@twitpic.com,China,Female,Yong’an,Tagfeed,23032.11,CNY
Kathleen,Murphy,kmurphy18@meetup.com,Italy,Female,Ancona,Bubblemix,8203.06,EUR
Margaret,Olson,molson19@vistaprint.com,China,Female,Yuqian,Livefish,64011.98,CNY
Billy,Mills,bmills1a@instagram.com,Indonesia,Male,Kalebun,Shuffletag,6881.92,IDR
Michael,Olson,molson1b@elegantthemes.com,Sweden,Male,Linköping,Mydeo,69320.31,SEK
Douglas,Sullivan,dsullivan1c@chicagotribune.com,China,Male,Yiyang,Linktype,64681.85,CNY
Brian,Hernandez,bhernandez1d@squidoo.com,Poland,Male,Pyrzyce,Feedspan,83072.58,PLN
Irene,Hicks,ihicks1e@sbwire.com,Czech Republic,Female,Hněvotín,Mynte,38855.78,CZK
Annie,Wilson,awilson1f@arizona.edu,Syria,Female,Abū Qalqal,Kwideo,89773.28,SYP
Steve,Patterson,spatterson1g@unblog.fr,Thailand,Male,Kaeng Khoi,Fivespan,82462.42,THB
Adam,Williams,awilliams1h@census.gov,China,Male,Nanding,Oodoo,32093.49,CNY
William,Lewis,wlewis1i@nature.com,Sweden,Male,Huddinge,Trunyx,1616.53,SEK
