Doris,Mason,dmason0@angelfire.com,China,Female,Qionghu,Voolith,61450.18,CNY
Samuel,Dunn,sdunn1@flavors.me,Poland,Male,Knurów,Browsetype,30914.94,PLN
Joe,Bryant,jbryant2@unesco.org,Finland,Male,Taipalsaari,Minyx,11391.44,EUR
Donna,Myers,dmyers3@sohu.com,Portugal,Female,Ribeiro,Meeveo,91540.89,EUR
Denise,Bryant,dbryant4@wufoo.com,Japan,Female,Tomobe,Fivebridge,18796.80,JPY
Ronald,Edwards,redwards5@intel.com,Ireland,Male,Monaghan,Mynte,74979.79,EUR
Gloria,Matthews,gmatthews6@sitemeter.com,Poland,Female,Miejsce Piastowe,Avaveo,54463.24,PLN
Eugene,Olson,eolson7@networkadvertising.org,Kazakhstan,Male,Shīeli,Gabcube,78718.28,KZT
Ann,Hanson,ahanson8@tuttocitta.it,France,Female,Orléans,Yakidoo,77368.46,EUR
Ernest,Watson,ewatson9@nytimes.com,China,Male,Jiaoshi,Yambee,91125.68,CNY
Frances,Mills,fmillsa@chicagotribune.com,Greece,Female,Saronída,Blogspan,2959.43,EUR
Carol,Crawford,ccrawfordb@tmall.com,China,Female,Zhangjiafan,Jabberstorm,60686.45,CNY
Norma,Henderson,nhendersonc@cpanel.net,Marshall Islands,Female,Likiep,Edgeclub,11266.64,USD
Diane,Phillips,dphillipsd@theglobeandmail.com,Gambia,Female,Daru Rilwan,Yambee,67126.39,GMD
Diana,Ramirez,dramireze@army.mil,Russia,Female,Surkhakhi,Skipstorm,,RUB
Nancy,Crawford,ncrawfordf@illinois.edu,Philippines,Female,Subusub,Meejo,,PHP
Charles,Andrews,candrewsg@spotify.com,Argentina,Male,La Rioja,Meemm,,ARS
Ashley,Bowman,abowmanh@spotify.com,China,Female,Chengguan,Dablist,99340.88,CNY
Michael,Anderson,mandersoni@so-net.ne.jp,Czech Republic,Male,Stráž nad Nisou,Gigaclub,42712.64,CZK
Margaret,Hicks,mhicksj@wufoo.com,Greece,Female,Nisí,Topicshots,76925.93,EUR
Dorothy,Watkins,dwatkinsk@homestead.com,Ukraine,Female,Obroshyne,BlogXS,77193.71,UAH
Sean,Wells,swellsl@army.mil,Russia,Male,Sochi,Quimba,93534.92,RUB
Joseph,Hart,jhartm@mapquest.com,Tanzania,Male,Mbumi,Tagfeed,88882.44,TZS
Phyllis,Boyd,pboydn@domainmarket.com,China,Female,Luokou,Yodel,97983.78,CNY
Larry,Mitchell,lmitchello@google.es,Indonesia,Male,Dawuhan,Abatz,27426.03,IDR
Nicholas,Nelson,nnelsonp@yale.edu,Peru,Male,Huambalpa,Twiyo,24534.28,PEN
