Johnny,Rogers,jrogers0@psu.edu,Cameroon,Male,Kumba,Browsebug,87579.77,XAF
Brian,Washington,bwashington1@ustream.tv,Portugal,Male,Vide,Brainlounge,24740.36,EUR
Louis,Williamson,lwilliamson2@cargocollective.com,Russia,Male,Filimonovo,Mymm,,RUB
Billy,Lewis,blewis3@hao123.com,Poland,Male,Siedliska,Flashpoint,1169.12,PLN
Sara,Willis,swillis4@deviantart.com,Indonesia,Female,Karangkedawung,Oodoo,,IDR
Margaret,Lane,mlane5@nifty.com,France,Female,Marseille,DabZ,58222.08,EUR
Shawn,Kennedy,skennedy6@samsung.com,China,Male,Licheng,Einti,14950.66,CNY
Cheryl,Ferguson,cferguson7@typepad.com,Dominican Republic,Female,Pedro Sánchez,Vimbo,87035.60,DOP
Teresa,Evans,tevans8@lulu.com,Philippines,Female,Claveria,Kazio,69734.99,PHP
Bonnie,Powell,bpowell9@eventbrite.com,China,Female,Qiqing,Voonix,75003.08,CNY
Alan,Harper,aharpera@ihg.com,China,Male,Bayan Hot,Abata,52098.71,CNY
Judith,Anderson,jandersonb@wikipedia.org,Israel,Female,Mevo horon,Kwideo,,ILS
Anthony,Perry,aperryc@indiatimes.com,Brazil,Male,Bom Jesus da Lapa,Jaxworks,17058.01,BRL
William,Wright,wwrightd@senate.gov,Greece,Male,Gaïtánion,Vipe,14595.62,EUR
Andrea,Wells,awellse@globo.com,Greece,Female,Anávra,Zooveo,970.28,EUR
Judy,Fuller,jfullerf@jugem.jp,China,Female,Yoiqag,Dynabox,52979.41,CNY
Pamela,Bell,pbellg@blog.com,Iran,Female,Bāfq,Avaveo,39219.63,IRR
Annie,Kelly,akellyh@ucsd.edu,France,Female,Villefranche-sur-Saône,Trudoo,18994.11,EUR
Harold,Wilson,hwilsoni@freewebs.com,French Polynesia,Male,Tohautu,Skiba,17873.63,XPF
Heather,Bryant,hbryantj@theglobeandmail.com,Sweden,Female,Arvika,Trunyx,86393.51,SEK
Sean,Lawrence,slawrencek@w3.org,Tanzania,Male,Mtwango,Quinu,69366.36,TZS
Paul,Hall,phalll@surveymonkey.com,Finland,Male,Kiikala,Youtags,46555.82,EUR
Catherine,Cunningham,ccunninghamm@nbcnews.com,Madagascar,Female,Anjozorobe,Flipopia,96352.05,MGA
Julie,Spencer,jspencern@hao123.com,Saint Kitts and Nevis,Female,Cotton Ground,Quatz,27518.22,XCD
Annie,Henderson,ahendersono@shareasale.com,Philippines,Female,San Francisco,Dablist,95245.91,PHP
Roger,Stone,rstonep@nymag.com,Jordan,Male,Kurayyimah,Kimia,15103.78,JOD
Phyllis,Ruiz,pruizq@chron.com,China,Female,Muyuzi,Meejo,,CNY
Roy,Duncan,rduncanr@cdbaby.com,China,Male,Xidajie,Realcube,95556.98,CNY
Rachel,Riley,rrileys@pagesperso-orange.fr,China,Female,Ala,Eire,8423.30,CNY
Arthur,Dean,adeant@ovh.net,France,Male,Fosses,Jamia,,EUR
David,Hughes,dhughesu@ihg.com,Indonesia,Male,Margabakti,Omba,4511.84,IDR
Ernest,Torres,etorresv@usgs.gov,China,Male,Hetian,Youbridge,11099.25,CNY
Jane,Hayes,jhayesw@4shared.com,China,Female,Xinglong,Youbridge,88026.78,CNY
Jesse,Knight,jknightx@dailymotion.com,Japan,Male,Ōmagari,Browsebug,44297.77,JPY
Joshua,Bryant,jbryanty@go.com,United States,Male,Louisville,Myworks,26476.22,USD
Martin,Anderson,mandersonz@microsoft.com,Indonesia,Male,Lokea,Tagcat,524.89,IDR
Katherine,Richardson,krichardson10@wufoo.com,Czech Republic,Female,Karviná,Dynabox,62364.29,CZK
Jesse,Hanson,jhanson11@printfriendly.com,Argentina,Male,San Vicente,Aibox,63088.51,ARS
Diane,Bryant,dbryant12@senate.gov,Ukraine,Female,Zachepylivka,Fivebridge,62174.21,UAH
Rebecca,Adams,radams13@nba.com,China,Female,Liuhe,Gabcube,58908.63,CNY
Andrew,Green,agreen14@addthis.com,Bulgaria,Male,Borovan,Eire,90447.53,BGN
Scott,Johnston,sjohnston15@gizmodo.com,Peru,Male,Chocope,Topicware,34305.34,PEN
Terry,Perez,tperez16@imdb.com,Brazil,Male,Boa Vista,Linktype,61446.76,BRL
Amy,Pierce,apierce17@wp.com,Greece,Female,Oinoússes,Mybuzz,40361.90,EUR
Laura,Perez,lperez18@craigslist.org,Portugal,Female,Amieira,Meemm,17852.14,EUR
Michelle,Sims,msims19@toplist.cz,Indonesia,Female,Tambakmerak,Mydo,83141.16,IDR
Margaret,Hansen,mhansen1a@is.gd,Russia,Female,Verkhoshizhem’ye,Divanoodle,35790.86,RUB
Sandra,Jones,sjones1b@engadget.com,Canada,Female,Owen Sound,Buzzbean,,CAD
Adam,Davis,adavis1c@google.de,China,Male,Jiaotan,Fanoodle,31551.48,CNY
